ID,DATE,n1,n2,n3,n4,n5
1,20230128,20,51,54,59,86
2,20230121,11,36,39,68,84
3,20230114,16,25,32,72,85
4,20230107,20,58,72,80,90
5,20230101,5,32,36,48,61
6,20221224,2,4,43,53,70
7,20221217,5,39,51,83,84
8,20221210,5,20,37,75,78
9,20221203,8,27,60,71,75
10,20221126,4,18,39,41,54
11,20221119,5,21,32,38,81
12,20221112,16,30,32,58,79
13,20221105,15,35,37,46,72
14,20221029,2,3,22,42,55
15,20221022,4,8,12,40,44
16,20221015,1,7,39,40,58
17,20221008,18,33,36,48,60
18,20221001,12,22,24,49,65
19,20220924,3,16,21,43,60
20,20220917,7,15,19,33,71
21,20220910,7,10,33,34,78
22,20220903,15,31,60,67,76
23,20220827,12,19,32,47,59
24,20220820,5,17,31,61,68
25,20220813,18,41,42,48,52
26,20220806,24,38,50,75,76
27,20220730,12,19,20,34,36
28,20220723,49,51,54,62,83
29,20220716,30,45,56,62,71
30,20220709,11,35,44,47,77
31,20220702,1,36,42,57,79
32,20220625,7,27,30,34,68
33,20220618,12,22,26,27,31
34,20220611,4,19,30,58,71
35,20220604,14,36,38,45,55
36,20220528,16,19,31,41,61
37,20220521,12,24,33,75,90
38,20220514,3,15,40,46,55
39,20220507,9,53,57,70,72
40,20220430,2,30,41,45,88
41,20220423,41,54,64,81,83
42,20220416,1,25,35,43,49
43,20220409,9,40,57,70,90
44,20220402,4,8,10,55,66
45,20220326,11,21,22,31,73
46,20220319,27,50,73,74,84
47,20220312,4,11,14,40,44
48,20220305,21,47,52,72,90
49,20220226,13,25,33,37,90
50,20220219,30,33,36,66,87
51,20220212,20,42,61,63,81
52,20220205,6,50,57,65,76
53,20220129,11,15,16,42,48
54,20220122,4,6,15,32,83
55,20220115,21,49,53,59,79
56,20220108,3,17,36,66,80
57,20220101,6,25,47,55,86
58,20211225,5,31,34,42,63
59,20211218,2,13,33,60,62
60,20211211,5,12,33,56,64
61,20211204,4,17,52,56,71
62,20211127,42,48,53,57,64
63,20211120,13,22,27,32,35
64,20211113,25,52,72,76,90
65,20211106,4,29,65,69,79
66,20211030,6,12,54,64,74
67,20211023,5,14,24,34,79
68,20211016,22,49,64,73,86
69,20211009,6,15,30,65,72
70,20211002,17,25,30,31,48
71,20210925,9,20,64,70,76
72,20210918,51,54,57,74,89
73,20210911,15,36,50,55,65
74,20210904,16,32,49,73,77
75,20210828,3,13,30,32,38
76,20210821,28,43,45,47,62
77,20210814,7,51,55,59,86
78,20210807,10,37,42,56,74
79,20210731,16,37,38,41,69
80,20210724,29,63,71,75,77
81,20210717,27,34,38,51,62
82,20210710,1,11,37,49,75
83,20210703,1,16,29,30,58
